Diet	High	Low	High	Low	High	Low	High	Low	High	Low	High	Low
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus	9829	8585	7971	39549	16801	15664	9375	16944	12723	6252	11557	7893
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus alvei	276	124	230	355	208	189	137	220	212	74	174	77
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus antarcticus	133	140	41	396	561	129	215	148	226	109	306	121
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus baekrokdamisoli	258	122	139	466	187	181	157	152	205	120	178	120
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus beijingensis	282	88	347	524	202	229	108	249	211	65	131	84
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus borealis	36	143	30	558	288	326	189	348	230	92	203	136
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus bovis	39	107	34	464	158	82	146	96	82	92	175	84
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus brasilensis	20	69	21	156	48	92	86	113	42	65	97	57
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus cellulositrophicus	302	135	269	1166	249	512	138	514	236	86	155	139
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus chitinolyticus	82	70	41	431	211	170	81	289	127	93	115	96
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus crassostreae	18	123	23	262	83	81	106	74	44	111	97	141
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus donghaensis	428	193	304	2274	598	690	273	360	431	133	304	155
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus durus	106	166	82	941	301	363	166	434	251	110	225	132
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus ferrarius	146	173	89	588	400	231	170	309	206	137	215	130
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus ginsengarvi	45	129	35	564	76	177	71	251	64	73	90	110
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus glucanolyticus	3	30	10	63	26	15	17	18	18	15	21	15
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus graminis	62	204	56	704	155	195	178	270	97	168	215	189
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus guangzhouensis	32	94	28	426	96	128	55	162	53	63	88	102
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus ihbetae	398	142	289	922	655	490	216	466	518	95	283	157
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus kribbensis	61	80	28	241	255	96	96	167	140	65	134	72
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus larvae	419	222	178	626	291	328	165	342	324	134	216	154
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus lautus	58	62	46	252	179	91	73	66	82	40	107	55
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus lentus	297	109	272	409	441	198	177	124	310	65	238	67
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus mucilaginosus	120	217	107	1484	374	519	216	465	334	140	311	195
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus naphthalenovorans	45	103	33	363	168	122	111	93	104	51	130	45
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus odorifer	107	129	93	389	248	217	108	244	146	105	163	109
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus peoriae	1	9	4	20	7	6	7	13	2	10	6	8
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus physcomitrellae	46	66	45	483	72	128	65	146	49	56	72	108
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus polymyxa	190	431	129	725	644	348	401	395	386	361	494	314
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus riograndensis	41	106	34	592	113	202	88	286	64	68	123	114
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sabinae	57	61	41	562	114	117	98	132	66	52	103	62
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. 18JY67-1	65	167	56	669	111	270	113	232	82	134	121	164
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. 32O-W	105	612	86	1430	349	465	436	516	220	439	426	620
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. 37	14	131	14	179	241	133	129	162	200	82	156	92
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. B01	43	114	58	890	208	347	139	505	159	74	133	116
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. BIHB4019	92	154	67	481	220	120	151	191	182	115	145	140
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. CAA11	57	65	40	320	201	111	104	160	101	71	152	67
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. Cedars	3	41	4	80	20	43	24	35	5	29	22	21
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. DCT19	51	80	30	127	356	113	172	245	228	73	221	90
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL H7-0357	518	129	286	984	461	587	342	551	610	81	382	186
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL H7-0737	86	99	41	189	384	101	174	92	176	92	192	63
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL P4-0081	398	84	321	507	462	331	161	361	356	56	182	76
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL R5-0345	617	129	471	628	449	225	268	197	520	82	230	130
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL R5-0912	52	81	66	333	274	125	114	164	214	64	188	64
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL R7-0273	293	127	249	868	415	378	133	318	295	97	238	120
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL R7-0331	328	120	282	930	290	379	122	413	284	82	196	134
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FW100M-2	46	78	21	427	58	133	44	142	44	57	69	107
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. HB172198	47	88	28	257	317	113	155	162	224	46	187	78
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. IHB B 3084	161	247	86	321	260	72	155	98	150	154	187	187
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. IHBB 10380	34	143	23	347	78	60	87	55	51	106	100	76
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. JDR-2	136	112	108	952	322	493	104	533	173	68	158	135
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. M-152	1	12	0	12	5	13	4	19	3	11	4	4
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. MBLB1234	57	116	58	600	250	136	128	128	132	101	148	79
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. RUD330	507	108	421	865	300	405	139	376	338	61	191	101
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. Y412MC10	59	66	42	517	102	130	49	82	70	38	64	43
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. lzh-N1	1	13	1	11	11	0	12	5	0	15	14	12
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus stellifer	136	102	110	502	227	184	157	230	163	80	161	136
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus swuensis	45	57	34	365	140	237	79	356	68	53	90	114
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus terrae	15	99	14	202	60	90	55	72	36	84	84	68
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus thiaminolyticus	616	200	638	1129	692	653	282	595	662	142	362	196
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus xylanexedens	19	110	15	402	79	57	70	52	33	85	85	82
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus xylanilyticus	38	101	34	476	97	174	83	194	57	70	116	87
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus yonginensis	36	74	41	437	126	139	121	179	88	70	134	89
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Saccharibacillus	382	145	428	850	326	390	196	393	353	67	217	129
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Saccharibacillus|s__Saccharibacillus brassicae	382	145	428	850	326	390	196	393	353	67	217	129
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus	32	63	37	726	201	368	104	444	161	46	175	93
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus|s__Thermobacillus composti	32	63	37	726	201	368	104	444	161	46	175	93
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|s__Paenibacillaceae bacterium GAS479	30	90	27	295	80	95	77	103	58	84	66	77
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	2325	2312	1811	5451	3923	2532	2612	2898	2937	1983	2722	2038
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Jeotgalibacillus	63	87	41	231	281	135	116	264	133	97	134	91
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Jeotgalibacillus|s__Jeotgalibacillus malaysiensis	63	87	41	231	281	135	116	264	133	97	134	91
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia	104	143	45	157	455	70	176	103	186	147	228	133
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia|s__Kurthia sp. 11kri321	41	60	23	74	270	18	96	61	95	78	138	57
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia|s__Kurthia zopfii	62	82	20	82	185	52	80	42	91	68	89	75
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina	31	181	21	283	116	55	111	81	48	153	106	135
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina|s__Paenisporosarcina antarctica	22	123	9	176	78	28	79	44	32	103	70	80
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina|s__Paenisporosarcina sp. K2R23-3	9	58	12	107	38	27	32	37	16	50	36	55
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus	589	759	406	1937	1347	902	826	1063	842	641	866	694
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus antarcticus	16	52	6	155	74	63	72	100	11	32	80	60
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus donghaensis	13	76	9	98	89	8	85	17	41	76	71	42
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus faecalis	7	31	4	32	9	15	28	31	6	26	16	34
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus halocryophilus	46	71	18	43	180	25	72	15	60	45	69	46
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus kocurii	2	16	3	53	20	22	21	22	12	15	10	14
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus maritimus	10	36	6	53	45	20	37	23	25	43	24	35
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus plakortidis	9	61	10	137	214	114	79	167	163	40	110	37
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus rifietoensis	29	61	10	193	142	109	63	84	75	40	67	44
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus sp. MB-3u-03	30	44	11	138	172	35	67	26	65	38	85	34
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus sp. PAMC 21323	12	84	13	200	50	83	72	62	21	74	73	91
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus sp. Y42	336	98	255	460	209	301	88	376	265	91	113	136
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus versutus	26	62	23	91	55	39	76	44	36	54	77	55
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus	32	113	21	152	79	95	86	145	28	97	89	77
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus|s__Rummeliibacillus stabekisii	32	113	21	152	79	95	86	145	28	97	89	77
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus	719	336	483	916	752	398	511	411	719	272	530	247
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus|s__Solibacillus silvestris	324	185	233	461	311	186	192	201	266	129	209	131
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus|s__Solibacillus sp. R5-41	395	151	250	455	441	212	319	210	453	143	321	116
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina	181	573	165	1369	519	470	483	573	422	484	499	530
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina pasteurii	14	60	9	186	59	25	67	45	31	55	64	59
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina psychrophila	32	108	21	155	119	51	88	76	60	97	87	100
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina sp. P33	3	10	1	23	4	36	10	12	7	15	6	18
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina sp. P37	4	16	1	20	12	3	8	5	4	12	6	9
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina sp. PTS2304	11	67	11	273	28	36	40	48	21	48	32	49
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina ureae	69	254	64	454	175	198	205	300	156	208	231	215
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus	606	116	628	391	369	406	300	247	556	88	265	122
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus thermosphaericus	606	116	628	391	369	406	300	247	556	88	265	122
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae	239	122	155	669	778	197	248	350	384	83	375	137
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|g__Sporolactobacillus	138	70	105	264	427	105	111	175	204	41	167	75
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|g__Sporolactobacillus|s__Sporolactobacillus terrae	138	70	105	264	427	105	111	175	204	41	167	75
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|s__[Bacillus] selenitireducens	101	52	50	405	351	92	137	175	180	42	208	62
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	3335	7151	1507	8267	9163	3376	6730	3521	4794	6156	6805	5082
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Auricoccus	39	70	9	145	216	15	101	17	69	59	73	59
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Auricoccus|s__Auricoccus indicus	39	70	9	145	216	15	101	17	69	59	73	59
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus	87	80	97	91	174	46	102	40	76	84	100	69
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus saudimassiliensis	87	80	97	91	174	46	102	40	76	84	100	69
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus	680	372	308	543	830	261	546	289	717	322	530	210
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus canis	621	140	263	289	593	202	355	214	639	135	342	86
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus caseolyticus	16	103	16	72	48	22	70	30	24	64	63	45
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus sp. IME1552	40	107	28	124	156	31	105	37	54	102	119	59
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus	41	117	21	204	70	76	68	107	57	70	72	68
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus halodurans	41	117	21	204	70	76	68	107	57	70	72	68
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2488	6510	1071	7258	7871	2975	5908	3067	3871	5620	6028	4676
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus agnetis	73	67	36	60	365	23	114	21	152	76	156	51
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus argenteus	10	91	3	45	57	11	67	15	17	85	71	62
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus arlettae	9	120	12	80	52	71	101	117	29	109	67	85
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus aureus	158	680	117	554	605	150	535	215	319	590	505	431
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus auricularis	17	78	17	190	67	102	56	117	28	72	49	55
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus capitis	22	257	16	367	117	131	179	92	58	219	146	192
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus caprae	46	139	18	85	203	38	121	43	89	127	146	114
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus carnosus	11	91	6	115	58	11	67	23	27	70	56	45
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus chromogenes	19	104	10	128	55	44	89	55	33	95	81	80
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus cohnii	64	282	37	300	226	394	295	111	103	244	251	219
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus condimenti	23	103	22	48	40	16	88	31	26	83	83	53
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus delphini	10	54	7	20	44	14	50	28	23	62	64	60
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus epidermidis	91	503	34	374	491	94	433	133	208	444	377	343
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus equorum	13	87	2	45	43	41	81	88	19	74	72	61
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus felis	86	105	30	162	306	61	121	35	113	78	129	76
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus haemolyticus	78	206	38	189	310	40	165	73	112	200	223	157
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus hominis	103	217	35	271	509	81	233	63	196	169	253	138
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus hyicus	9	71	3	31	29	13	72	25	19	78	60	39
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus kloosii	26	134	12	89	138	66	90	97	49	111	91	92
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus lugdunensis	45	166	22	123	196	35	178	49	91	142	205	117
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus lutrae	14	103	14	129	42	32	78	52	43	89	53	58
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus muscae	7	82	4	98	26	30	51	60	12	60	55	60
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus nepalensis	39	131	33	113	233	46	130	58	79	133	164	96
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus pasteuri	15	116	11	184	60	23	80	47	24	80	86	88
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus pettenkoferi	41	59	25	27	181	21	89	9	56	66	74	65
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus piscifermentans	7	46	2	59	28	27	43	15	15	43	33	41
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus pseudintermedius	17	122	4	60	52	27	88	22	26	106	91	81
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus saprophyticus	383	196	50	344	557	151	245	153	438	171	275	164
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus schleiferi	20	142	14	83	105	42	80	51	37	103	100	78
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus schweitzeri	5	88	4	35	31	27	53	19	18	54	44	39
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus sciuri	85	240	27	162	402	76	264	130	195	190	302	148
